project_id,option_id,total_pv_kwp,total_inverter_kw,total_battery_kwh
0eaa6c9cbf724f83,262ed4f039097d8a,0.0,0.0,10.0
0eb06e1ae53cd6a2,245d22507d1a151a,0.0,0.0,5.0
0eb3efee9cb65a6f,331873c97c8e9bc7,0.0,0.0,10.0
0eb745850de13121,5413dd3718369a89,0.0,0.0,10.0
0f2c2dd0ce1f5c7e,345eac23f0c1a842,0.0,0.0,5.0
0f3cb888a89ed4b4,6e1247901fdd5dbb,0.0,0.0,10.0
0f661483c3962ca7,4d46a6a79ad260b8,0.0,0.0,10.0
0f924d0859c2cb06,0441895fe5426cc1,0.0,0.0,10.0
104a07893e2e1e61,4c80b700f5b4c0c4,0.0,0.0,5.0
1056b9c012e2b153,bebf94dfa5dcdf95,0.0,0.0,7.0
10667f489b4ebfbb,266cd28d087fb5a3,0.0,0.0,15.0
1069a995e7186dad,c7b45875de7527b3,0.0,0.0,15.0
10d53599258c67ac,753d96c4b623e2ff,0.0,0.0,13.5
10db64c2eb038cf7,27f700210503cf67,0.0,0.0,10.0
11c7126c504fdc86,8c9b453f0e35c094,0.0,0.0,5.0
11cfbcbf1112060c,073860af7aa78cab,0.0,0.0,10.0
127e27bb8e23d85e,7857277e6423eaf9,0.0,0.0,5.0
130267c679e201f3,4a2de6886891ea60,0.0,0.0,5.0
136dc580b0c7fedb,fb898f4737909c35,0.0,0.0,9.2
136e5199ed8edbc4,242715dc7389fa5b,0.0,0.0,10.0
1398c19832c0de32,d66442c1549ac343,0.0,0.0,7.0
13b3fccf4bdd035b,edb698465c1501f6,0.0,0.0,10.0
13c2bebc5f558b17,6705809aee5111c8,0.0,0.0,7.0
1424f321e6932bb5,0aec6630702776b1,0.0,0.0,10.0
14426481eb176f2c,ccb827fe0bacf4df,0.0,0.0,7.0
149f3cd8d50d213a,84e052e001d24818,0.0,0.0,5.0
14bb99a04c21c4d4,0a81171726dcb144,0.0,0.0,5.0
14e62fbaa169cf5d,3613bf95911da2f0,0.0,0.0,5.0
1523c62a3ea1c979,f8b95ed00a90d6d9,0.0,0.0,10.0
1547fcdb90b27de3,d2ecc23040cc0747,0.0,0.0,5.0
1559d8746749ede9,77568cf14344c0c6,0.0,0.0,5.0
